"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Angola","AGO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","41.8","41.8","41.8","41.8","41.4","41","40.6","40.2","39.7","39.3","38.9","38.5","38.1","37.6","37.2","36.8","36.4","36","35.5","35.1","34.7","34.3","","",
"Somalia","SOM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6","19.6","19.6","19.6","19.6","18.5","17.5","16.4","15.3","14.2","13.1","12","11","9.9","8.8","8.8","8.8","8.8","8.8","","","",
"Ethiopia","ETH","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","5.4","7.3","9.3","11.2","13.1","15.1","17","18.9","20.8","22.8","24.7","26.6","28.6","30.5","32.4","34.3","36.3","38.2","40.1","42.1","","",
"Kenya","KEN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9","33.9","34.9","35.9","36.9","37.9","38.9","39.9","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55.1","","",
"South Sudan","SSD","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","55","","",
"Sudan","SDN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3","61.3","60.7","60.1","59.5","58.9","58.4","57.8","57.2","56.6","56","55.4","54.9","54.3","53.7","53.1","52.5","51.9","51.4","50.8","50.2","50.2","50.2","","",
"Eritrea","ERI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","38.9","38.9","38.9","40.6","42.2","43.8","45.4","47","48.6","50.3","51.9","53.5","55.1","56.7","56.7","56.7","56.7","56.7","","","","","","",
"Congo, Dem. Rep.","COD","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8","25.8","25.8","25.8","25.9","26.1","26.3","26.4","26.6","26.8","27","27.1","27.3","27.5","27.7","27.8","28","28.2","28.3","28.5","28.7","28.9","29","","",
"Tanzania","TZA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","45.9","45.8","45.7","45.6","45.5","45.4","45.4","45.3","45.2","45.1","45","44.9","44.8","44.7","44.6","44.6","44.5","44.4","44.3","44.2","44.1","44","","",
"Uganda","UGA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2","38.7","40.3","41.8","43.3","44.9","46.4","47.9","49.5","51","52.5","54.1","55.6","57.1","58.7","60.2","61.8","63.3","64.8","66.4","67.9","69.4","71","","",
"Rwanda","RWA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6","59.1","59.5","59.9","60.4","60.8","61.3","61.7","62.1","62.6","63","63.5","63.9","64.3","64.8","65.2","65.7","66.1","66.5","67","67.4","67.9","68.3","","",
"Burundi","BDI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","67.3","67.6","67.8","68.1","68.4","68.7","69","69.3","69.5","69.8","70.1","70.4","70.7","70.9","71.2","71.5","71.8","72.1","72.4","72.6","72.9","73.2","","",
"Djibouti","DJI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3","60.3","60.3","60.3","60.3","60.6","60.9","61.2","61.5","61.8","62.1","62.4","62.7","63","63.3","63.6","64","64.3","64.6","64.9","65.2","65.5","65.5","","",
"Central African Republic","CAF","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","46.4","46.4","46.8","47.2","47.6","48","48.4","48.8","49.2","49.6","50","50.4","50.8","51.2","51.6","52","52.4","52.8","53.2","53.6","54","54.4","","",
"Chad","TCD","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2","37.6","37.9","38.3","38.6","38.9","39.3","39.6","40","40.3","40.7","41","41.3","41.7","42","42.4","42.7","43","43.4","43.7","44.1","44.4","44.8","","",
